base_sha	id	compilo	oraculo	estado	clasificacion
1e4bb36b193795688be7575d0ea872fe37033b170bc59561bd1ed33f2a92f8b8	BASE	si	autoprueba	0	verde
1e4bb36b193795688be7575d0ea872fe37033b170bc59561bd1ed33f2a92f8b8	M001	si	autoprueba	65	muerto
1e4bb36b193795688be7575d0ea872fe37033b170bc59561bd1ed33f2a92f8b8	M002	si	autoprueba	65	muerto
1e4bb36b193795688be7575d0ea872fe37033b170bc59561bd1ed33f2a92f8b8	M003	si	autoprueba	65	muerto
1e4bb36b193795688be7575d0ea872fe37033b170bc59561bd1ed33f2a92f8b8	M004	si	autoprueba	65	muerto
1e4bb36b193795688be7575d0ea872fe37033b170bc59561bd1ed33f2a92f8b8	M005	si	ast_tipado	1	muerto_ast
1e4bb36b193795688be7575d0ea872fe37033b170bc59561bd1ed33f2a92f8b8	M006	si	ast_tipado	1	muerto_ast
1e4bb36b193795688be7575d0ea872fe37033b170bc59561bd1ed33f2a92f8b8	M007	si	autoprueba	2	muerto
1e4bb36b193795688be7575d0ea872fe37033b170bc59561bd1ed33f2a92f8b8	M008	si	ast_tipado	1	muerto_ast
1e4bb36b193795688be7575d0ea872fe37033b170bc59561bd1ed33f2a92f8b8	M009	si	ast_tipado	1	muerto_ast
1e4bb36b193795688be7575d0ea872fe37033b170bc59561bd1ed33f2a92f8b8	M010	si	ast_tipado	1	muerto_ast
1e4bb36b193795688be7575d0ea872fe37033b170bc59561bd1ed33f2a92f8b8	M011	si	ast_tipado	1	muerto_ast
1e4bb36b193795688be7575d0ea872fe37033b170bc59561bd1ed33f2a92f8b8	M012	si	ast_tipado	1	muerto_ast
1e4bb36b193795688be7575d0ea872fe37033b170bc59561bd1ed33f2a92f8b8	M013	si	ast_tipado	1	muerto_ast
1e4bb36b193795688be7575d0ea872fe37033b170bc59561bd1ed33f2a92f8b8	M014	si	autoprueba	65	muerto
1e4bb36b193795688be7575d0ea872fe37033b170bc59561bd1ed33f2a92f8b8	M015	si	ast_tipado	1	muerto_ast
1e4bb36b193795688be7575d0ea872fe37033b170bc59561bd1ed33f2a92f8b8	M016	si	autoprueba	65	muerto
