base_sha	id	compilo	oraculo	estado	clasificacion
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	BASE	si	autoprueba	0	verde
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M001	si	autoprueba	65	muerto
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M002	si	autoprueba	65	muerto
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M003	si	autoprueba	65	muerto
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M004	si	autoprueba	65	muerto
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M005	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M006	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M007	si	autoprueba	2	muerto
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M008	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M009	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M010	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M011	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M012	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M013	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M014	si	autoprueba	65	muerto
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M015	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M016	si	autoprueba	65	muerto
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M017	si	autoprueba	65	muerto
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M018	si	autoprueba	65	muerto
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M019	si	autoprueba	65	muerto
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M020	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M021	si	autoprueba	65	muerto
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M022	si	autoprueba	65	muerto
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M023	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M024	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M025	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M026	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M027	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M028	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M029	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M030	si	autoprueba	65	muerto
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M031	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M032	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M033	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M034	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M035	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M036	si	autoprueba	65	muerto
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M037	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M038	si	autoprueba	65	muerto
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M039	si	autoprueba	65	muerto
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M040	si	autoprueba	65	muerto
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M041	si	autoprueba	65	muerto
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M042	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M043	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M044	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M045	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M046	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M047	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M048	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M049	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M050	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M051	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M052	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M053	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M054	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M055	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M056	si	autoprueba	65	muerto
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M057	si	ast_tipado	1	muerto_ast
5d99728165117297fef0f90d4418ff6593434701def1c374ca8f942b9e2ed30f	M058	si	ast_tipado	1	muerto_ast
