bloque	modo	sha_script	inicio_utc	duracion_ms	estado_script	filas	resultado
c01_c07	normal	a02eebd8c399c87950efd1d8d3d8b9faaf7984a4cd7b4c2607d8e5acccd37c12	2026-08-09T14:34:47Z	2033	0	7	GO
c02_interleavings	normal	67d993b84c3c337a230a53f90d12ed91c08021c8ef88279cc93fd8557659f78a	2026-08-09T14:34:49Z	2521	0	3	GO
c08_c11_c14	normal	f03f7510b37b732b50fefbeefd3cba4bbd2058b2a014f68f54f1e1505279441c	2026-08-09T14:34:52Z	5247	0	9	GO
c10_c13	normal	70e2413081711d3f7019fa5daa4f5172d2ddde2b6eb5f2b121dc7d82f478cd46	2026-08-09T14:34:57Z	5256	0	7	GO
c15_c21	normal	31cc4c59960990875d002cb590a81e98aac2f5b13d8fc027bff1ab89ff1f96bc	2026-08-09T14:35:02Z	2430	0	5	GO
c19	normal	cb8629842b2635ea36293d788ed9980f174b18e19d570b3f5e4f124f830d81f5	2026-08-09T14:35:05Z	2128	0	3	GO
c20	normal	189c59f0ee235722a3aeac1491bb21de26015da99746027a4a20f489ec1b9b8e	2026-08-09T14:35:07Z	3025	0	3	GO
c01_c07	race	a02eebd8c399c87950efd1d8d3d8b9faaf7984a4cd7b4c2607d8e5acccd37c12	2026-08-09T14:35:10Z	8864	0	7	GO
c02_interleavings	race	67d993b84c3c337a230a53f90d12ed91c08021c8ef88279cc93fd8557659f78a	2026-08-09T14:35:19Z	2625	0	3	GO
c08_c11_c14	race	f03f7510b37b732b50fefbeefd3cba4bbd2058b2a014f68f54f1e1505279441c	2026-08-09T14:35:22Z	7554	0	9	GO
c10_c13	race	70e2413081711d3f7019fa5daa4f5172d2ddde2b6eb5f2b121dc7d82f478cd46	2026-08-09T14:35:29Z	6437	0	7	GO
c15_c21	race	31cc4c59960990875d002cb590a81e98aac2f5b13d8fc027bff1ab89ff1f96bc	2026-08-09T14:35:36Z	6028	0	5	GO
c19	race	cb8629842b2635ea36293d788ed9980f174b18e19d570b3f5e4f124f830d81f5	2026-08-09T14:35:42Z	2125	0	3	GO
c20	race	189c59f0ee235722a3aeac1491bb21de26015da99746027a4a20f489ec1b9b8e	2026-08-09T14:35:44Z	2624	0	3	GO
