indice	caso	esperado	estado	stdout	stderr	resultado
1	TUPLA_C	0	0	0	0	GO
2	TUPLA_C	0	0	0	0	GO
3	TUPLA_C	0	0	0	0	GO
4	TUPLA_C	0	0	0	0	GO
5	TUPLA_C	0	0	0	0	GO
6	TUPLA_C	0	0	0	0	GO
7	TUPLA_C	0	0	0	0	GO
8	TUPLA_C	0	0	0	0	GO
9	TUPLA_C	0	0	0	0	GO
10	TUPLA_C	0	0	0	0	GO
11	TUPLA_C	0	0	0	0	GO
12	TUPLA_C	0	0	0	0	GO
13	TUPLA_C	0	0	0	0	GO
14	TUPLA_C	0	0	0	0	GO
15	TUPLA_C	0	0	0	0	GO
16	TUPLA_C	0	0	0	0	GO
17	TUPLA_C	0	0	0	0	GO
18	TUPLA_C	0	0	0	0	GO
19	TUPLA_C	0	0	0	0	GO
20	TUPLA_C	0	0	0	0	GO
21	TUPLA_C	0	0	0	0	GO
22	TUPLA_C	0	0	0	0	GO
23	TUPLA_C	0	0	0	0	GO
24	TUPLA_C	0	0	0	0	GO
25	TUPLA_C	0	0	0	0	GO
26	TUPLA_C	0	0	0	0	GO
27	TUPLA_C	0	0	0	0	GO
28	TUPLA_C	0	0	0	0	GO
29	TUPLA_C	0	0	0	0	GO
30	TUPLA_C	0	0	0	0	GO
31	TUPLA_C	0	0	0	0	GO
32	TUPLA_C	0	0	0	0	GO
33	TUPLA_C	0	0	0	0	GO
34	TUPLA_C	0	0	0	0	GO
35	TUPLA_C	0	0	0	0	GO
36	TUPLA_C	0	0	0	0	GO
37	TUPLA_C	0	0	0	0	GO
38	TUPLA_C	0	0	0	0	GO
39	TUPLA_C	0	0	0	0	GO
40	TUPLA_C	0	0	0	0	GO
41	TUPLA_C	0	0	0	0	GO
42	TUPLA_C	0	0	0	0	GO
43	TUPLA_C	0	0	0	0	GO
44	TUPLA_C	0	0	0	0	GO
45	TUPLA_C	0	0	0	0	GO
46	TUPLA_C	0	0	0	0	GO
47	TUPLA_C	0	0	0	0	GO
48	TUPLA_C	0	0	0	0	GO
49	TUPLA_C	0	0	0	0	GO
50	TUPLA_C	0	0	0	0	GO
51	TUPLA_C	0	0	0	0	GO
52	TUPLA_C	0	0	0	0	GO
53	TUPLA_C	0	0	0	0	GO
54	TUPLA_C	0	0	0	0	GO
55	TUPLA_C	0	0	0	0	GO
56	TUPLA_C	0	0	0	0	GO
57	TUPLA_C	0	0	0	0	GO
58	TUPLA_C	0	0	0	0	GO
59	TUPLA_C	0	0	0	0	GO
60	TUPLA_C	0	0	0	0	GO
61	TUPLA_C	0	0	0	0	GO
62	TUPLA_C	0	0	0	0	GO
63	TUPLA_C	0	0	0	0	GO
64	TUPLA_C	0	0	0	0	GO
65	TUPLA_C	0	0	0	0	GO
66	TUPLA_C	0	0	0	0	GO
67	TUPLA_C	0	0	0	0	GO
68	TUPLA_C	0	0	0	0	GO
69	TUPLA_C	0	0	0	0	GO
70	TUPLA_C	0	0	0	0	GO
71	TUPLA_C	0	0	0	0	GO
72	TUPLA_C	0	0	0	0	GO
73	TUPLA_C	0	0	0	0	GO
74	TUPLA_C	0	0	0	0	GO
75	TUPLA_C	0	0	0	0	GO
76	TUPLA_C	0	0	0	0	GO
77	TUPLA_C	0	0	0	0	GO
78	TUPLA_C	0	0	0	0	GO
79	TUPLA_C	0	0	0	0	GO
80	TUPLA_C	0	0	0	0	GO
81	TUPLA_C	0	0	0	0	GO
82	TUPLA_C	0	0	0	0	GO
83	TUPLA_C	0	0	0	0	GO
84	TUPLA_C	0	0	0	0	GO
85	TUPLA_C	0	0	0	0	GO
86	TUPLA_C	0	0	0	0	GO
87	TUPLA_C	0	0	0	0	GO
88	TUPLA_C	0	0	0	0	GO
89	TUPLA_C	0	0	0	0	GO
90	TUPLA_C	0	0	0	0	GO
91	TUPLA_C	0	0	0	0	GO
92	TUPLA_C	0	0	0	0	GO
93	TUPLA_C	0	0	0	0	GO
94	TUPLA_C	0	0	0	0	GO
95	TUPLA_C	0	0	0	0	GO
96	TUPLA_C	0	0	0	0	GO
97	TUPLA_C	0	0	0	0	GO
98	TUPLA_C	0	0	0	0	GO
99	TUPLA_C	0	0	0	0	GO
100	TUPLA_C	0	0	0	0	GO
