caso	estado	oraculo_durable
C01	CUBIERTO	conductor_c01_c07.sh:C01_PREFLIGHT
C02	CUBIERTO	conductor_c01_c07.sh:C02_SENAL_HANDOFF
C03	CUBIERTO	conductor_c01_c07.sh:C03_SELECTORES
C04	CUBIERTO	conductor_c01_c07.sh:C04_MAPA_HERENCIA
C05	CUBIERTO	conductor_c01_c07.sh:C05_LEASE_COPIAS
C06	CUBIERTO	conductor_c01_c07.sh:C06_TERMINAL
C07	CUBIERTO	conductor_c01_c07.sh:C07_TICKET_EOF
C08	CUBIERTO	conductor_c08_c11_c14.sh:LOW_HOLE/C08_BARRIDO/C08_CUARTA/C08_FLAG
C09	CUBIERTO	conductor_c10_c13.sh:TUPLA_A/TUPLA_B/TUPLA_C
C10	CUBIERTO	conductor_c10_c13.sh:C10_DUPFD_POST_START
C11	CUBIERTO	conductor_c08_c11_c14.sh:C11_TERMINAL_POST_START
C12	CUBIERTO	conductor_c08_c11_c14.sh:C12_CANCELAR_TERMINAL/C12_EOF_TERMINAL
C13	CUBIERTO	conductor_c10_c13.sh:AF_PIDFD_*
C14	CUBIERTO	conductor_c08_c11_c14.sh:C14_EOF/C14_KILL
C15	CUBIERTO	conductor_c15_c21.sh:C15_AF
C16	CUBIERTO	conductor_c15_c21.sh:C16_ALIAS
C17	CUBIERTO	conductor_c15_c21.sh:C17_TESTIGOS_TID
C18	CUBIERTO	conductor_c15_c21.sh:C18_BORDES
C19	CUBIERTO	conductor_c19.sh:C19_EINTR/C19_PRESUPUESTO/C19_POLL
C20	CUBIERTO	conductor_c20.sh:C20_PDEATH_*
C21	CUBIERTO	conductor_c15_c21.sh:C21_CIEN_INVENTARIOS
