base	d9f8aeb547f5d1b3b9ab3eb786382f78ef964e28
toolchain	go1.26.5 linux/amd64 CGO_ENABLED=0
alcance	B01-B18
alternativas	81/81
compilables	81/81
muertos	81/81
muerte_conductual	71
muerte_ast_senalizacion	10
pgid	ESRCH tras cada compilacion/prueba ejecutada
rutas_privadas	0
skip	0
runner_fuente_sha256	8e3095f45793ac3d64e2f8cfeebae291b26a6aa01515971fe1538e2edcc44714
runner_binario_sha256	faab12fa27fb5d2c40417bf8a90366d5d8dbd77c6553ee239b5cd44f8bb922cf
catalogo_sha256	56a7c8ad2ac769609fa5a79011464c2aff43cbfbd4dd9be945d372cdfafcbab6
fuentes_sha256	b377244facf86fb76fed674776b201b45f752c639fdd8ee2d1c9eaec855e8c35
resultados_sha256	394521aab8277c7b497b82866dfdde51356c0e0fff8f43ec9717962f5d725cc4
readme_sha256	3aa1e51169ceac6c1ad01642f3c0aa708046ff4a8468c89309dde3176c1400d9
