id	familia	alternativa	target	sha_fuente	sha_mutado	compila	muerte	duracion_ns	stdout_hex	stderr_hex	oraculo
V3B001	B19	proc-autoridad-senal	identidad	803b9a343934e5423e0d3f5f5f4cbfee86f7321790d979e017254a924ac2be7a	48711f38ca5d14c9db2f9050bc082ce77c8abd5b8f09672726c3bce5c3981343	0	CONDUCTUAL	32896919207	2d2d2d204641494c3a205465737448616e646f66664f33624e6f6d696e616c436f6e6a756e746f59436f6e73756d69646f2028302e313273290a20202020636170747572615f70726f6365736f735f6d33385f6830625f6675656e74655f636f72706f7261746976615f636f6e746578746f5f6163746f725f76315f68616e646f66665f746573742e676f3a35323a2068616e646f6666206e6f6d696e616c3a2065786974207374617475732036353a200a2d2d2d204641494c3a205465737448616e646f66664f33624e6567617469766f734e6f5472616e7366696572656e2028302e313273290a20202020636170747572615f70726f6365736f735f6d33385f6830625f6675656e74655f636f72706f7261746976615f636f6e746578746f5f6163746f725f76315f68616e646f66665f746573742e676f3a38323a206e6567617469766f20636f6e7461646f723a2065786974207374617475732036353a200a2d2d2d204641494c3a205465737448616e646f66664f3362496e76656e746172696f50726573657276614c65617365466174616c2028302e313273290a20202020636170747572615f70726f6365736f735f6d33385f6830625f6675656e74655f636f72706f7261746976615f636f6e746578746f5f6163746f725f76315f68616e646f66665f746573742e676f3a3136343a20696e76656e746172696f206f63756c74c3b3206c656173653a2065786974207374617475732036353a200a2d2d2d204641494c3a20546573744964656e74696461644f33624578616374615265616c2028302e313273290a20202020636170747572615f70726f6365736f735f6d33385f6830625f6675656e74655f636f72706f7261746976615f636f6e746578746f5f6163746f725f76315f6964656e74696461645f746573742e676f3a39393a206964656e7469646164207265616c3a20657869742073746174757320343a200a2d2d2d204641494c3a20546573744964656e74696461644f336252656368617a6143616d706f732028302e303073290a20202020636170747572615f70726f6365736f735f6d33385f6830625f6675656e74655f636f72706f7261746976615f636f6e746578746f5f6163746f725f76315f6964656e74696461645f746573742e676f3a3130373a206964656e7469646164206e6f6d696e616c2072656368617a6164610a4641494c0a	70727565626173204f33622065737461646f3d31	proc-no-autoriza-senal
V3B002	B19	proc-pin-identidad	identidad	803b9a343934e5423e0d3f5f5f4cbfee86f7321790d979e017254a924ac2be7a	dab823300a5432e04959ac5123ad9d9e3844c6906cf2a555721b1883ccc7940e	0	AST-CFG-SEMANTICO	7814912265	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a2070726f632d6e6f2d65732d70696e	proc-no-es-pin
V3B003	B20	entregar-tras-terminalidad	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	55827c3ce7617168f9ac01d9a4a843d47244bf98d30407d6a7405b5aa80c55e8	0	AST-CFG-SEMANTICO	6037267629	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a2042462d6e6f2d656e7472656761	BF-no-entrega
V3B004	B20	entregar-tras-cancelacion	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	522a8b8475bf2d4a0444596d0278ba11d2f96e29a834679f88787ff655f1c986	0	AST-CFG-SEMANTICO	5031843774	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a2063616e63656c61646f2d6e6f2d656e7472656761	cancelado-no-entrega
V3B005	B20	entregar-tras-senal	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	a50f46592806c099a6a39d371ec0f03f2184f9cdbafe353185a0112200727134	0	CONDUCTUAL	4548328593	2d2d2d204641494c3a205465737448616e646f66664f33624e6f6d696e616c436f6e6a756e746f59436f6e73756d69646f2028302e313173290a20202020636170747572615f70726f6365736f735f6d33385f6830625f6675656e74655f636f72706f7261746976615f636f6e746578746f5f6163746f725f76315f68616e646f66665f746573742e676f3a35323a2068616e646f6666206e6f6d696e616c3a20657869742073746174757320323a200a4641494c0a	70727565626173204f33622065737461646f3d31	senal-pendiente-no-entrega
V3B006	B20	bootstrap-vencido	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	cea09187b551ab34a5ad77b9dc49128a8c4b42334595a1ef5d452cd08307c02d	0	CONDUCTUAL	4720618367	2d2d2d204641494c3a205465737448616e646f66664f33624e6f6d696e616c436f6e6a756e746f59436f6e73756d69646f2028302e313273290a20202020636170747572615f70726f6365736f735f6d33385f6830625f6675656e74655f636f72706f7261746976615f636f6e746578746f5f6163746f725f76315f68616e646f66665f746573742e676f3a35323a2068616e646f6666206e6f6d696e616c3a20657869742073746174757320323a200a2d2d2d204641494c3a205465737448616e646f66664f33624e6567617469766f734e6f5472616e7366696572656e2028302e323473290a20202020636170747572615f70726f6365736f735f6d33385f6830625f6675656e74655f636f72706f7261746976615f636f6e746578746f5f6163746f725f76315f68616e646f66665f746573742e676f3a38323a206e6567617469766f20626f6f7473747261703a20657869742073746174757320343a200a4641494c0a	70727565626173204f33622065737461646f3d31	bootstrap-vencido-no-entrega
V3B007	B21	PID-separado	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	256a33bc0c52af8cabb016ad3c066e9e5dea1a8b725d7ded16b829f90f8d47fe	0	AST-CFG-SEMANTICO	6554104154	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a205049442d6e6f2d73616c652d736570617261646f	PID-no-sale-separado
V3B008	B21	pidfd-separado	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	a55691c4f7ea4417c55ecff33b6cfc5cccaca6601396bacbb3606256b5716f09	0	AST-CFG-SEMANTICO	6886078087	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a2070696466642d6e6f2d73616c652d736570617261646f	pidfd-no-sale-separado
V3B009	B21	Process-separado	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	906cfc7c06ca7b543e3c0f1a77ab9ee10dab377003ec71ed8438a4cd4b8bad9b	0	AST-CFG-SEMANTICO	7502672305	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a2050726f636573732d6e6f2d73616c652d736570617261646f	Process-no-sale-separado
V3B010	B21	CONTROL-separado	handoff	4b8b856e506b188a750922b4e320502b597a4aacf930507376eec9feccf4a534	ff1d821e131bc124724f945c505da731b33d617a3d853aa979b6d51145ef3fc4	0	AST-CFG-SEMANTICO	6078887362	504153530a	70726f7069656461642070726f68696269646120616372656469746164613a20434f4e54524f4c2d6e6f2d73616c652d736570617261646f	CONTROL-no-sale-separado
