id	familia	alternativa	archivo	antes_hex	despues_hex	oraculo
C001	C01	omitir-CAS-observador	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_autoridad.go	6e7565766f426173656c696e652c206f6b203a3d20632e6f627365727661646f722e7472616e7366657269724372697469636f28632e626173656c696e6553656e616c29	6e7565766f426173656c696e652c206f6b203a3d20632e626173656c696e6553656e616c2c2074727565	consumo-observador-1-a-2
C002	C01	omitir-CAS-lease	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_autoridad.go	21632e6c656173652e7472616e7366657269724372697469636f2829	66616c7365	consumo-lease-1-a-3
C003	C01	reordenar-CAS	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_autoridad.go	6e7565766f426173656c696e652c206f6b203a3d20632e6f627365727661646f722e7472616e7366657269724372697469636f28632e626173656c696e6553656e616c29	5f203d20632e6c656173652e7472616e7366657269724372697469636f28293b206e7565766f426173656c696e652c206f6b203a3d20632e6f627365727661646f722e7472616e7366657269724372697469636f28632e626173656c696e6553656e616c29	observador-antes-lease
C004	C01	mutar-B5	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_autoridad.go	612e65737461646f20213d2063617074757261423543617074757261646f4d3338	612e65737461646f203d3d2063617074757261423543617074757261646f4d3338	B5-read-only-exacto
C005	C01	no-anular-llamador	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_autoridad.go	2a656e7472616461203d206e696c	5f203d20656e7472616461	puntero-anulado-antes-validar
C006	C01	aceptar-alias	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_autoridad.go	69662065737461646f4c65617365203d3d20332026262065737461646f4f627365727661646f72203d3d2032	69662065737461646f4c65617365203d3d20332026262065737461646f4f627365727661646f72203d3d2031	alias-consumido
C007	C01	aceptar-clon	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_autoridad.go	72657475726e20656e74726164614f3363436f6e73756d6964614d33380a097d0a0969662065737461646f4c6561736520213d2031	72657475726e20656e74726164614f336356616c6964614d33380a097d0a0969662065737461646f4c6561736520213d2031	clon-no-readquiere
C008	C01	aceptar-reuso-antes-C5	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_autoridad.go	69662065737461646f4c65617365203d3d20332026262065737461646f4f627365727661646f72203d3d2032	69662065737461646f4c65617365203d3d2033	reuso-antes-C5
C009	C01	aceptar-replay-despues-C5	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_autoridad.go	69662065737461646f4c65617365203d3d20332026262065737461646f4f627365727661646f72203d3d2032	69662065737461646f4f627365727661646f72203d3d2032	replay-despues-C5
C010	C01	retornar-particion	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_autoridad.go	666174616c4f33634d333828290a097d0a0972657475726e206e7565766f426173656c696e65	72657475726e206e7565766f426173656c696e650a097d0a0972657475726e206e7565766f426173656c696e65	particion-no-retorna
C011	C02	aceptar-estado-no-B5	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_autoridad.go	612e65737461646f20213d2063617074757261423543617074757261646f4d3338	66616c7365	estado-B5-exacto
C012	C02	aceptar-atomicos-no-1-1	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_autoridad.go	65737461646f4c6561736520213d2031207c7c2065737461646f4f627365727661646f7220213d2031	65737461646f4c65617365203d3d20302026262065737461646f4f627365727661646f72203d3d2030	atomicos-1-1
C013	C02	aceptar-recurso-nulo	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_autoridad.go	632e636d6420213d206e696c20262620632e636d642e50726f6365737320213d206e696c	74727565	cmd-process-presentes
C014	C02	aceptar-ticket-writer	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_autoridad.go	632e7469636b65744573637269746f72203d3d206e696c	74727565	ticket-writer-ausente
C015	C02	aceptar-observacion-previa	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_autoridad.go	612e7072696d657261203d3d206e696c	74727565	observacion-entrada-vacia
C016	C03	omitir-registro	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_autoridad.go	632e6c656173652e726567697374726f203d3d206e696c	66616c7365	registro-presente
C017	C03	omitir-pertenencia	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_autoridad.go	632e6c656173652e726567697374726f2e6c65617365735b632e6c656173655d20213d20632e6c656173652e67656e65726163696f6e	66616c7365	lease-pertenece-registro
C018	C03	omitir-generacion	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_autoridad.go	632e6f627365727661646f722e726567697374726f2e6f627365727661646f7265735b632e6f627365727661646f725d20213d20632e6f627365727661646f722e67656e65726163696f6e	66616c7365	observador-generacion
C019	C03	omitir-TID	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_autoridad.go	632e6c656173652e74696420213d20632e746964	66616c7365	TID-lease
C020	C03	omitir-PPID	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_revalidacion.go	70706964203d3d20632e70706964	70706964203e3d2030	PPID-sellado
C021	C03	omitir-PDEATHSIG	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_revalidacion.go	706465617468736967203d3d20696e7433322873797363616c6c2e5349475445524d29	706465617468736967203e3d2030	PDEATHSIG-SIGTERM
C022	C03	omitir-baseline	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_autoridad.go	632e626173656c696e6553656e616c20213d20632e6f627365727661646f722e70616c616272612e4c6f61642829	66616c7365	baseline-exacto
C023	C03	omitir-signo	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_autoridad.go	75696e743828632e626173656c696e6553656e616c3e3e322920213d2030	66616c7365	signo-cero
C024	C04	reordenar-CONTROL-segunda-ronda	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_revalidacion.go	696620657272203a3d206c656572436f6e74726f6c4f33624d333828612e637573746f646961293b2065727220213d206e696c207b	5f2c205f203d206175746f726964616453656e616c4f33634d333828612e637573746f646961293b20696620657272203a3d206c656572436f6e74726f6c4f33624d333828612e637573746f646961293b2065727220213d206e696c207b	CONTROL-primero-segunda-ronda
C025	C04	reordenar-CONTROL-ronda-principal	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_revalidacion.go	696620657272203a3d206c656572436f6e74726f6c4f33624d33382863293b2065727220213d206e696c207b	5f2c205f203d206175746f726964616453656e616c4f33634d33382863293b20696620657272203a3d206c656572436f6e74726f6c4f33624d33382863293b2065727220213d206e696c207b	CONTROL-primero-ronda-principal
C026	C04	aceptar-EOF	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_revalidacion.go	72657475726e207265736f6c766572526576616c69646163696f6e4f33634d333828612c206572722c20707265436f6e74436f6e74726f6c4f33634d333829	72657475726e206e696c2c206e696c	EOF-retira
C027	C04	aceptar-parcial	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_observacion.go	72657475726e20696e7374616c61724f62736572766163696f6e4f33634d333828612c206f62736572766163696f6e436f6e74726f6c5261774f33634d333829	72657475726e20696e7374616c61724f62736572766163696f6e4f33634d333828612c206f62736572766163696f6e5069646664566163696f4f33634d333829	CONTROL-raw-cierra
C028	C04	aceptar-framing	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_revalidacion.go	72657475726e207265736f6c766572526576616c69646163696f6e4f33634d333828612c206572722c20707265436f6e74436f6e74726f6c4f33634d333829	72657475726e207265736f6c766572526576616c69646163696f6e4f33634d333828612c206572722c20707265436f6e7450696466644f33634d333829	framing-precedencia
C029	C04	aceptar-presupuesto	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_revalidacion.go	6c656572436f6e74726f6c4f33624d333828612e637573746f64696129	6572726f72286e696c29	presupuesto-no-verde
C030	C04	aceptar-EINTR	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_observacion.go	696620657272203a3d206c656572436f6e74726f6c4f33624d333828612e637573746f646961293b2065727220213d206e696c	696620657272203a3d206c656572436f6e74726f6c4f33624d333828612e637573746f646961293b2065727220213d206e696c20262620216572726f72732e4973286572722c2073797363616c6c2e45494e545229	EINTR-no-verde
C031	C05	recrear-bootstrap	continuacion_procesos_m38_h0b_fuente_corporativa_contexto_actor_v1_revalidacion.go	696620632e66696e426f6f7473747261702e49735a65726f2829207c7c202174696d652e4e6f7728292e4265666f726528632e66696e426f6f74737472617029	632e66696e426f6f747374726170203d2074696d652e4e6f7728292e4164642874696d652e486f7572293b20696620632e66696e426f6f7473747261702e49735a65726f2829207c7c202174696d652e4e6f7728292e4265666f726528632e66696e426f6f74737472617029	bootstrap-no-recreado
