id	familia	alternativa	compilacion	muerte_causal	duracion_ns	salida_sha256
C001	C01	omitir-CAS-observador	COMPILA	MUERTO-PRUEBA-CAUSAL	913161414	1d69d44c7ef130c106826f0f613e7face9c5778e3423d4dfed8e4388fc93c55b
C002	C01	omitir-CAS-lease	COMPILA	MUERTO-PRUEBA-CAUSAL	810481416	64010fb7f66c96fa0e4cb19f7b063235fce6b2ab07a497bcf06a1d6e8cad6697
C003	C01	reordenar-CAS	COMPILA	MUERTO-PRUEBA-CAUSAL	109455622	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
C004	C01	mutar-B5	COMPILA	MUERTO-PRUEBA-CAUSAL	806639466	d694ab40ce5235d3cc9c33c26868172a2fb735c608db37e2aa0de49ed90a5501
C005	C01	no-anular-llamador	COMPILA	MUERTO-PRUEBA-CAUSAL	5754317816	0f14573c168a55168395bc13d6b094e0220e374ab9b71b257778bb996be01abf
C006	C01	aceptar-alias	COMPILA	MUERTO-PRUEBA-CAUSAL	109281022	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
C007	C01	aceptar-clon	COMPILA	MUERTO-PRUEBA-CAUSAL	112326725	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
C008	C01	aceptar-reuso-antes-C5	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	11111435312	5ad7f0ed4cce578ae36d16770220b0641dd711bd1d57275f084ce87c94904760
C009	C01	aceptar-replay-despues-C5	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	6835223508	5ad7f0ed4cce578ae36d16770220b0641dd711bd1d57275f084ce87c94904760
C010	C01	retornar-particion	COMPILA	MUERTO-PRUEBA-CAUSAL	5231264980	89da52d9e7523580db88225540b291585d55fe1c221af6a468b2e65041596502
C011	C02	aceptar-estado-no-B5	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	6654130454	6f2e10c6db2e274c73e6d7ec1dd11586105651959534d7fb75e59a967de00739
C012	C02	aceptar-atomicos-no-1-1	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	6341528856	4ecab0886af7f0a236d9bb029bf1939b4cc1213f63e4d815761d27481f1524b3
C013	C02	aceptar-recurso-nulo	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	7781013911	143f117f1011b3a5b8bf5d6689bca762c16e9639d02a0ab4fcb7f23f780c76a3
C014	C02	aceptar-ticket-writer	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	6542710996	fe0bbebb1470096be99d198f8b14bcb1ff1c50540f3ab1dc2481b954bf649224
C015	C02	aceptar-observacion-previa	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	6637513276	8aad0d635a89bcb16e2b2d4b1fe961c9c559c9cd208755ff14048d521ab43df3
C016	C03	omitir-registro	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	6845513761	cd54ea8dfb749150fffba7d79ab75d72a02c2358f2051d48f7d2dfc9cb34d25d
C017	C03	omitir-pertenencia	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	6631786627	80615b747609973cc4e2e18077bf78a630408ba427671875997b624b4fd6f4c2
C018	C03	omitir-generacion	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	7041007866	cd1908e8d50f9bf084834ca1b2c86ee0ee0ec7a20b910d0e9917f15a2f2d766a
C019	C03	omitir-TID	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	6943507664	46c4564334bc75b987f49b6008cb16d66635864a3715e3b3edffe381e2b5e445
C020	C03	omitir-PPID	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	7560957478	b4e16d8c4a4bd8096ff653571cc41c23e304a659778345f81d6091f85ba799c6
C021	C03	omitir-PDEATHSIG	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	6839015533	347627f342fd2b17ca2157f9b79349719bb46607aa1947ab03988bfd923a9d36
C022	C03	omitir-baseline	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	6646753492	67ca9b1a863a40bc7fda3b563c08f5913b5ba72a4f408e453b21ff3ca5f05aa9
C023	C03	omitir-signo	COMPILA	MUERTO-PRUEBA-CAUSAL	5218000815	a794bed6b9edb91123175aa43b77fe6b0109710b57dd588f74563c1813ca77bc
C024	C04	reordenar-CONTROL-segunda-ronda	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	6440798066	0f5ec332c52f9b9e3c00120ddf4098edf467830e4e06b3569effc9d1e9c3d07f
C025	C04	reordenar-CONTROL-ronda-principal	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	10617457439	b6d371e091c8a2e784cb16a80ab2dae484ea50f9fcb6ccbba5360a9c6d254132
C026	C04	aceptar-EOF	COMPILA	MUERTO-PRUEBA-CAUSAL	3914693743	fcaa636bdd128ca1011507e790c56307836cb1504ec53d1b4df5d824f13e6554
C027	C04	aceptar-parcial	COMPILA	MUERTO-PRUEBA-CAUSAL	4519925484	e8f967e217cf3cc49e5fe9cdeccbbd3fe39549ab3ec47dc897f88b69bce9797b
C028	C04	aceptar-framing	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	6326198758	9e31252c206abe4801498735d841eff5b4489250396c1bed500a96ebe28a23e7
C029	C04	aceptar-presupuesto	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	6632107086	f447d1e2a1664977e896b7537a63ef946bd33e0a35c89e507913c464de690650
C030	C04	aceptar-EINTR	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	6220766679	4832b70498c9b7878e3a17a2e72693d80a60e2147d8bc97d320e65236b1b38c0
C031	C05	recrear-bootstrap	COMPILA	MUERTO-PRUEBA-CAUSAL	710557258	9cd064cdf3c3f2376c8e7ac3ebe2a9ab3c19d83992b40a90111aee88815547ae
C032	C05	extender-bootstrap	COMPILA	MUERTO-PRUEBA-CAUSAL	808897804	9cd064cdf3c3f2376c8e7ac3ebe2a9ab3c19d83992b40a90111aee88815547ae
C033	C05	ignorar-vencimiento	COMPILA	MUERTO-PRUEBA-CAUSAL	5119984897	bf869da4b7f0d4e7d003bc47f5cc1dfd7d6a85ec08c32343b81dba4f49880543
C034	C06	omitir-primario	COMPILA	MUERTO-PRUEBA-CAUSAL	4118731593	60b30c0061af9dd52038770cd78acc5f7fa980303288644456a1b17baff8b590
C035	C06	omitir-reserva	COMPILA	MUERTO-PRUEBA-CAUSAL	4019733659	cdab58b36b0e72632cf6079d299a1591e980ea210251e83665aa3664d02ce295
C036	C06	omitir-handle	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	6123192143	719ae82f51fc74c6f9f70b5ab070f49976cc5dbab9329f2f72a90d73db843473
C037	C06	aceptar-cuarta	COMPILA	MUERTO-PRUEBA-CAUSAL	809086587	207f342dc85f68faa3f45d8a273c31a8420b4a4fdd68440025b375911e9a1407
C038	C06	duplicar	COMPILA	MUERTO-PRUEBA-CAUSAL	707104451	40c8261bbb0439240aef98193afaac66bf4a9cbcb9cbcf030eeda547e9e98db2
C039	C06	promover-reserva	COMPILA	MUERTO-PRUEBA-CAUSAL	4814815918	924b4b7bb7acb9668cc62ce0e6d84c91ffb10041c5233f27184d025ab4be6880
C040	C07	aceptar-terminalidad	COMPILA	MUERTO-PRUEBA-CAUSAL	4013673848	5b8ce0bdaf31097f80a59ec91317fd31e716af0918f936ce5f3f7819b054f1ff
C041	C07	aceptar-flags	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	6223684893	1237d6d7ed507c78234c79ddb432394141526a2f586e0ed5945f2b252d5f03a9
C042	C07	ruta-proc-distinta	COMPILA	MUERTO-PRUEBA-CAUSAL	808061770	b659766a2007e3075e831f80b6b0d8d5e32a11b3250aea6f9a6d3afb5d10e0e2
C043	C07	omitir-T	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	6124787390	0bffc16b796edca27264bce0f9e56dc2bf609503e8e93afb2f7e81b321979918
C044	C07	omitir-PID	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	7153654108	28259601d934fabff2d211a11c7c613525db90e9ecf5c36a338c88d67c289cbc
C045	C07	omitir-PPID	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	6329515305	95cdd8f2cfa8b805c7da58aff38b803117bff485746898106b8ee4053164244c
C046	C07	omitir-PGID	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	6125761631	47a21dd7e1e3eeb4ab3623e49aedc5d500f77de0dbe08fa5a275be1dbc5e9847
C047	C07	omitir-SID	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	6438204584	7e07a58d104decf0dc104fb82933890b7e85226e994dc19b319568e53bc1d947
C048	C07	omitir-starttime	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	6629984539	0140b2cbbba025afb76b090b8635944ff3e9f9c0096ba55123708e7dfcc5a472
C049	C08	compartir-permiso	COMPILA	MUERTO-PRUEBA-CAUSAL	2920527432	c917af9e5f4c9f1447432bb19a1a53336f82e48d47b8f9414168c76028636fb8
C050	C08	forjar-permiso	COMPILA	MUERTO-AST-TIPOS-DAG-CAUSAL	10688944350	c7fc6953bf6cecce9a68998a9d0fa7983f88dfd62a4468cc3d97f96337da69e3
C051	C08	omitir-comenzar	COMPILA	MUERTO-PRUEBA-CAUSAL	2922061262	9d57e1a1801cef693ce40d181405d469254ed7269edb85a388f2cf72e4033528
